accuracy,k,dataset,split seed
1.0,10,Iris,35
0.9333333333333333,3,Iris,36
0.9333333333333333,5,Iris,36
0.9666666666666667,10,Iris,36
0.9333333333333333,3,Iris,37
0.9333333333333333,5,Iris,37
0.9666666666666667,10,Iris,37
1.0,3,Iris,38
1.0,5,Iris,38
0.9666666666666667,10,Iris,38
0.9333333333333333,3,Iris,39
0.9666666666666667,5,Iris,39
0.9666666666666667,10,Iris,39
0.9666666666666667,3,Iris,40
0.9666666666666667,5,Iris,40
1.0,10,Iris,40
0.9666666666666667,3,Iris,41
0.9666666666666667,5,Iris,41
0.9666666666666667,10,Iris,41
0.9666666666666667,3,Iris,42
0.9666666666666667,5,Iris,42
0.9666666666666667,10,Iris,42
0.9666666666666667,3,Iris,43
0.9666666666666667,5,Iris,43
0.9666666666666667,10,Iris,43
0.9666666666666667,3,Iris,44
0.9666666666666667,5,Iris,44
0.9666666666666667,10,Iris,44
0.9666666666666667,3,Iris,45
0.9666666666666667,5,Iris,45
0.9666666666666667,10,Iris,45
1.0,3,Iris,46
0.9666666666666667,5,Iris,46
0.9666666666666667,10,Iris,46
0.9666666666666667,3,Iris,47
0.9666666666666667,5,Iris,47
0.9666666666666667,10,Iris,47
0.9666666666666667,3,Iris,48
0.9666666666666667,5,Iris,48
1.0,10,Iris,48
0.9666666666666667,3,Iris,49
0.9666666666666667,5,Iris,49
0.9333333333333333,10,Iris,49
0.9523809523809523,3,Seed,0
0.9761904761904762,5,Seed,0
0.9523809523809523,10,Seed,0
0.9285714285714286,3,Seed,1
0.9523809523809523,5,Seed,1
0.9523809523809523,10,Seed,1
0.9523809523809523,3,Seed,2
0.9761904761904762,5,Seed,2
0.9285714285714286,10,Seed,2
0.8571428571428571,3,Seed,3
0.8333333333333334,5,Seed,3
0.8333333333333334,10,Seed,3
0.9285714285714286,3,Seed,4
0.9285714285714286,5,Seed,4
0.9285714285714286,10,Seed,4
0.8571428571428571,3,Seed,5
0.8809523809523809,5,Seed,5
0.9047619047619048,10,Seed,5
0.9523809523809523,3,Seed,6
0.9523809523809523,5,Seed,6
0.9761904761904762,10,Seed,6
0.9285714285714286,3,Seed,7
0.9285714285714286,5,Seed,7
0.9523809523809523,10,Seed,7
0.9285714285714286,3,Seed,8
0.9047619047619048,5,Seed,8
0.9047619047619048,10,Seed,8
0.9523809523809523,3,Seed,9
0.9285714285714286,5,Seed,9
0.8809523809523809,10,Seed,9
0.9285714285714286,3,Seed,10
0.9523809523809523,5,Seed,10
0.9523809523809523,10,Seed,10
0.9285714285714286,3,Seed,11
0.9523809523809523,5,Seed,11
0.9523809523809523,10,Seed,11
0.9523809523809523,3,Seed,12
0.9523809523809523,5,Seed,12
0.9523809523809523,10,Seed,12
0.9047619047619048,3,Seed,13
0.9285714285714286,5,Seed,13
0.9047619047619048,10,Seed,13
0.9285714285714286,3,Seed,14
0.9047619047619048,5,Seed,14
0.8809523809523809,10,Seed,14
0.9523809523809523,3,Seed,15
0.9761904761904762,5,Seed,15
0.9761904761904762,10,Seed,15
0.8809523809523809,3,Seed,16
0.9285714285714286,5,Seed,16
