method,split seed,p,selection,labels,improvement
OBMA,10,"(0.5, 60)","[[0, 1, 2, 4, 6, 7, 10, 11, 14, 16, 20, 21, 22, 25, 26, 27, 28, 32, 37], [1, 2, 4, 6, 9, 10, 11, 12, 15, 17, 18, 19, 23, 25, 26, 29, 31, 32, 33, 34], [0, 4, 5, 6, 7, 10, 13, 14, 15, 17, 18, 19, 21, 22, 26, 28, 29, 30, 33, 35, 36]]","[1, 0, 2]",[nan]
OBMA,10,"(0.25, 30)","[[0, 4, 7, 10, 11, 14, 22, 26, 37], [6, 9, 10, 11, 17, 18, 19, 26, 31, 34], [4, 7, 10, 13, 14, 15, 17, 18, 26, 33, 35]]","[1, 0, 2]",[nan]
OBMA,10,"(0.125, 15)","[[0, 7, 26, 37], [9, 11, 17, 31, 34], [10, 13, 14, 15, 26, 33]]","[1, 0, 2]",[nan]
OBMA,11,"(0.5, 60)","[[0, 4, 5, 6, 7, 8, 9, 11, 12, 15, 16, 17, 20, 24, 26, 27, 28, 31, 32], [0, 1, 2, 5, 6, 9, 13, 15, 16, 17, 18, 19, 21, 22, 24, 27, 28, 31, 34, 38], [2, 6, 9, 10, 11, 13, 15, 16, 17, 18, 23, 25, 26, 29, 31, 34, 35, 36, 37, 39]]","[2, 1, 0]",[nan]
OBMA,11,"(0.25, 30)","[[4, 5, 7, 9, 11, 15, 17, 20, 24], [0, 1, 2, 6, 9, 13, 17, 21, 24, 38], [9, 10, 13, 15, 16, 17, 25, 26, 31, 34, 36]]","[2, 1, 0]",[nan]
OBMA,11,"(0.125, 15)","[[5, 9, 17, 24], [0, 1, 9, 24, 38], [9, 10, 13, 15, 17, 36]]","[2, 1, 0]",[nan]
OBMA,12,"(0.5, 60)","[[2, 3, 5, 8, 13, 14, 15, 16, 18, 20, 22, 23, 24, 28, 30, 31, 33, 36, 37, 38], [0, 1, 5, 6, 7, 9, 10, 11, 14, 15, 16, 19, 20, 21, 23, 25, 27, 29, 31, 34], [0, 5, 6, 7, 8, 9, 12, 15, 16, 17, 19, 20, 21, 23, 26, 27, 30, 31, 33, 34]]","[0, 1, 2]",[nan]
OBMA,12,"(0.25, 30)","[[8, 13, 14, 15, 18, 22, 23, 33, 36, 38], [1, 5, 7, 10, 11, 14, 16, 21, 23, 34], [5, 6, 8, 12, 15, 16, 21, 23, 30, 33]]","[0, 1, 2]",[nan]
OBMA,12,"(0.125, 15)","[[13, 15, 22, 36, 38], [1, 5, 7, 11, 16], [6, 15, 16, 23, 30]]","[0, 1, 2]",[nan]
OBMA,13,"(0.5, 60)","[[0, 1, 4, 5, 6, 9, 12, 13, 15, 16, 19, 20, 21, 23, 24, 25, 28, 29, 32], [1, 2, 3, 6, 8, 11, 12, 14, 15, 17, 18, 19, 24, 26, 27, 28, 29, 32, 33, 34], [0, 1, 2, 3, 6, 7, 9, 12, 15, 18, 20, 21, 22, 24, 26, 28, 30, 33, 36, 39]]","[2, 0, 1]",[nan]
