method,split seed,p,selection,labels,improvement
OBMA,9,"(0.5, 84)","[[3, 6, 7, 9, 10, 11, 13, 14, 17, 18, 21, 22, 24, 29, 31, 32, 33, 34, 35, 38, 41, 43, 45, 49, 50, 51], [1, 3, 8, 9, 11, 13, 14, 17, 18, 19, 20, 25, 27, 28, 30, 31, 33, 34, 35, 37, 43, 44, 46, 47, 49, 50, 51, 56], [2, 4, 5, 11, 12, 14, 15, 18, 19, 21, 22, 23, 24, 27, 28, 30, 31, 32, 38, 39, 42, 43, 44, 46, 47, 49, 51, 52, 56]]","[2, 1, 3]",[nan]
OBMA,9,"(0.25, 42)","[[3, 11, 13, 14, 18, 21, 34, 38, 41, 43, 45, 49, 50], [3, 9, 13, 14, 18, 19, 25, 27, 31, 33, 43, 46, 49, 50], [5, 11, 12, 14, 23, 28, 30, 31, 32, 38, 42, 47, 51, 52, 56]]","[2, 1, 3]",[nan]
OBMA,9,"(0.125, 21)","[[14, 18, 21, 34, 43, 50], [3, 14, 31, 33, 46, 49, 50], [5, 11, 15, 28, 32, 47, 51, 56]]","[2, 1, 3]",[nan]
OBMA,10,"(0.5, 84)","[[5, 6, 9, 10, 13, 14, 16, 17, 20, 21, 28, 31, 32, 33, 34, 35, 37, 38, 39, 40, 43, 44, 46, 48, 49, 51], [0, 1, 7, 13, 14, 16, 17, 20, 21, 22, 23, 27, 28, 29, 30, 31, 32, 35, 39, 40, 43, 44, 45, 47, 49, 50, 51, 54], [1, 3, 7, 9, 11, 14, 16, 19, 20, 21, 22, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 43, 45, 47, 49, 50, 56, 57]]","[2, 3, 1]",[nan]
OBMA,10,"(0.25, 42)","[[9, 13, 14, 16, 17, 20, 33, 38, 39, 43, 46, 48, 51], [1, 7, 13, 14, 17, 28, 29, 31, 32, 43, 47, 50, 51, 54], [3, 7, 9, 14, 16, 20, 21, 22, 26, 31, 32, 33, 34, 36, 49]]","[2, 3, 1]",[nan]
OBMA,10,"(0.125, 21)","[[13, 14, 17, 20, 39, 51], [7, 13, 28, 32, 43, 47, 54], [3, 9, 16, 20, 21, 32, 36, 49]]","[2, 3, 1]",[nan]
OBMA,11,"(0.5, 84)","[[2, 5, 8, 9, 10, 15, 16, 21, 23, 24, 26, 27, 29, 30, 31, 32, 35, 40, 41, 43, 44, 45, 46, 48, 49, 50, 54], [1, 3, 4, 5, 12, 13, 14, 18, 19, 21, 24, 30, 31, 32, 33, 35, 37, 39, 40, 41, 46, 48, 49, 50, 52, 53, 54], [0, 6, 8, 12, 13, 14, 15, 18, 20, 21, 22, 23, 24, 27, 28, 30, 31, 32, 33, 36, 37, 40, 43, 44, 45, 47, 48, 50, 55]]","[1, 2, 3]",[nan]
OBMA,11,"(0.25, 42)","[[2, 5, 10, 21, 27, 29, 32, 40, 41, 46, 48, 49, 50], [4, 13, 14, 19, 21, 31, 32, 33, 41, 48, 49, 50, 53], [0, 6, 12, 13, 14, 15, 22, 23, 28, 30, 32, 33, 43, 48, 50, 55]]","[1, 2, 3]",[nan]
OBMA,11,"(0.125, 21)","[[2, 27, 29, 43, 48, 50], [14, 19, 21, 31, 41, 49], [6, 12, 15, 28, 32, 33, 48, 50, 55]]","[1, 2, 3]",[nan]
OBMA,12,"(0.5, 84)","[[5, 6, 8, 11, 13, 16, 17, 18, 23, 24, 27, 29, 31, 32, 33, 34, 38, 40, 41, 42, 44, 45, 46, 47, 51, 52], [1, 2, 5, 8, 10, 16, 17, 19, 21, 22, 24, 25, 26, 29, 31, 32, 33, 37, 38, 39, 40, 42, 43, 44, 46, 48, 51, 52], [1, 3, 6, 7, 8, 10, 12, 13, 14, 17, 18, 21, 22, 30, 32, 33, 34, 35, 36, 37, 40, 42, 45, 48, 49, 51, 53, 54, 56]]","[1, 3, 2]",[nan]
