method,split seed,p,selection,labels,improvement
OBMA,6,"(0.125, 36)","[[0, 12], [4, 21, 35, 39, 41], [2, 8, 20, 26, 36], [4, 6, 8, 21, 46, 47], [2, 4, 6, 7, 18, 22, 54], [14, 18, 20, 22, 23, 25, 28, 37, 49, 79, 80]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,7,"(0.5, 144)","[[2, 3, 4, 5, 8, 10, 14, 15], [3, 4, 5, 6, 9, 11, 15, 19, 20, 22, 25, 28, 31, 32, 33, 34, 35, 36], [1, 2, 3, 5, 12, 14, 15, 18, 19, 21, 24, 26, 27, 28, 30, 31, 32, 36], [0, 2, 4, 5, 6, 7, 8, 9, 10, 14, 18, 20, 21, 22, 23, 31, 34, 37, 38, 39, 40, 43, 45], [0, 1, 2, 3, 4, 5, 7, 8, 9, 12, 13, 18, 19, 20, 21, 25, 30, 31, 32, 33, 36, 41, 42, 44, 52, 53, 54, 56, 57], [3, 4, 5, 6, 8, 12, 14, 15, 16, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 31, 32, 34, 37, 38, 40, 41, 42, 45, 46, 51, 53, 54, 55, 63, 68, 69, 70, 71, 76, 77, 78, 79, 84, 86, 87]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,7,"(0.25, 72)","[[3, 4, 8, 14], [3, 4, 11, 20, 31, 32, 33, 35, 36], [1, 2, 5, 15, 18, 19, 27, 28, 31], [2, 4, 6, 7, 8, 9, 22, 23, 34, 37, 40, 45], [0, 1, 3, 4, 5, 7, 9, 12, 18, 19, 21, 32, 41, 42, 56], [8, 12, 15, 21, 23, 24, 25, 26, 28, 30, 31, 32, 37, 45, 46, 51, 54, 68, 69, 77, 79, 86, 87]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,7,"(0.125, 36)","[[3, 14], [4, 20, 31, 35, 36], [2, 5, 19, 27, 28], [4, 7, 9, 23, 34, 40], [3, 4, 5, 9, 18, 21, 42], [15, 21, 23, 24, 25, 26, 30, 51, 54, 77, 87]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,8,"(0.5, 144)","[[2, 6, 7, 8, 10, 11, 13, 14], [0, 2, 3, 5, 8, 11, 12, 13, 14, 16, 17, 19, 27, 29, 30, 32], [1, 3, 4, 5, 13, 14, 15, 17, 18, 21, 23, 24, 25, 27, 28, 30, 32], [0, 1, 3, 4, 5, 6, 7, 9, 13, 15, 18, 19, 21, 23, 24, 32, 33, 35, 39, 40, 41, 42, 43, 47], [1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 18, 20, 21, 22, 28, 29, 32, 33, 34, 36, 42, 45, 46, 47, 49, 50, 56, 59, 60], [2, 3, 4, 6, 7, 8, 10, 14, 16, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28, 29, 30, 31, 33, 34, 37, 40, 42, 43, 45, 47, 48, 53, 55, 56, 57, 58, 59, 64, 65, 73, 74, 76, 82, 83, 85, 90, 91]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,8,"(0.25, 72)","[[2, 6, 10, 14], [2, 3, 5, 11, 17, 19, 27, 29], [1, 3, 5, 14, 15, 21, 24, 25, 32], [0, 3, 4, 5, 6, 7, 15, 18, 21, 24, 39, 42], [2, 4, 5, 6, 7, 9, 13, 18, 20, 22, 28, 45, 46, 47, 59], [3, 7, 10, 14, 17, 20, 21, 23, 25, 26, 27, 28, 30, 31, 33, 37, 42, 43, 53, 55, 82, 85, 90, 91]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,8,"(0.125, 36)","[[10, 14], [2, 3, 27, 29], [1, 5, 24, 25], [3, 4, 6, 7, 24, 42], [4, 5, 6, 7, 9, 18, 22, 46], [17, 21, 23, 25, 27, 28, 31, 42, 53, 55, 85, 90]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,9,"(0.5, 144)","[[1, 3, 4, 5, 8, 9, 10], [1, 3, 4, 5, 7, 9, 10, 13, 17, 20, 23, 24, 26, 27, 29, 31, 34, 35], [0, 1, 3, 4, 7, 11, 14, 17, 18, 21, 23, 25, 27, 30, 31, 32, 34, 35, 36, 39], [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 17, 19, 22, 23, 24, 26, 28, 39, 45, 46, 47, 50, 51], [1, 2, 3, 5, 6, 7, 12, 14, 15, 16, 17, 18, 19, 24, 25, 26, 27, 28, 31, 34, 37, 38, 40, 46, 47, 51], [3, 4, 5, 6, 7, 8, 12, 13, 15, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29, 33, 34, 37, 39, 40, 43, 44, 45, 50, 52, 53, 54, 55, 56, 62, 70, 71, 72, 73, 74, 80, 82, 84, 85]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,9,"(0.25, 72)","[[1, 9, 10, 11], [1, 3, 4, 7, 9, 17, 29, 31, 34], [0, 1, 3, 7, 18, 21, 23, 25, 31, 32], [0, 5, 6, 8, 9, 10, 11, 19, 23, 28, 39, 45, 47], [1, 2, 3, 5, 7, 12, 14, 15, 19, 25, 37, 46, 51], [4, 8, 13, 15, 18, 19, 21, 23, 24, 25, 27, 28, 29, 37, 39, 40, 50, 52, 56, 71, 82, 84, 85]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,9,"(0.125, 36)","[[1, 10], [3, 4, 5, 29, 34], [1, 21, 23, 25, 31], [5, 6, 9, 11, 28, 45, 47], [1, 2, 3, 5, 12, 14, 15], [15, 18, 19, 21, 24, 27, 28, 40, 52, 85]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,10,"(0.5, 144)","[[3, 7, 8, 10, 11, 12, 13, 14, 17], [2, 3, 4, 5, 8, 12, 15, 16, 21, 23, 24, 25, 26, 28, 30], [0, 1, 2, 3, 5, 6, 10, 14, 19, 22, 23, 24, 27, 29, 30, 31, 32, 33], [1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 16, 18, 20, 24, 25, 29, 30, 31, 32, 33, 35, 38, 39, 40, 50, 51], [0, 1, 3, 5, 6, 7, 8, 9, 10, 12, 16, 18, 21, 22, 23, 25, 27, 28, 38, 41, 45, 46, 47, 48, 49, 52], [0, 3, 4, 9, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 36, 37, 40, 41, 42, 44, 45, 46, 52, 54, 55, 56, 57, 58, 65, 71, 72, 73, 74, 75, 76, 81, 82, 83, 87, 89, 90]]","[6, 4, 5, 3, 2, 1]",[nan]
OBMA,10,"(0.25, 72)","[[7, 8, 10, 13, 17], [2, 5, 8, 15, 23, 25, 26, 28], [1, 2, 5, 22, 24, 29, 30, 31, 32], [3, 4, 5, 7, 8, 11, 16, 18, 20, 25, 30, 40, 50], [0, 5, 6, 7, 8, 9, 10, 18, 22, 25, 28, 45, 48], [3, 9, 15, 16, 21, 23, 24, 25, 26, 27, 29, 30, 32, 36, 42, 52, 54, 56, 73, 75, 81, 83, 89, 90]]","[6, 4, 5, 3, 2, 1]",[nan]
OBMA,10,"(0.125, 36)","[[1, 10], [8, 15, 23, 28], [1, 22, 24, 29, 31], [3, 4, 5, 8, 16, 20, 40], [5, 6, 9, 10, 18, 28, 48], [16, 21, 23, 25, 26, 29, 30, 42, 52, 81, 90]]","[6, 4, 5, 3, 2, 1]",[nan]
OBMA,11,"(0.5, 144)","[[0, 2, 7, 8, 9, 12, 13, 14], [1, 2, 3, 4, 5, 6, 7, 12, 14, 15, 17, 18, 28, 29, 30, 34, 35, 36, 37, 38], [3, 4, 5, 9, 10, 12, 13, 16, 18, 20, 21, 23, 24, 32, 33, 35, 36, 38, 39, 40], [1, 3, 4, 5, 6, 14, 17, 18, 22, 24, 27, 28, 29, 30, 31, 32, 33, 34, 35, 39], [1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 14, 16, 19, 21, 22, 23, 27, 28, 31, 32, 35, 38, 40, 43, 44, 49, 53, 54, 57], [2, 3, 4, 5, 6, 9, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 32, 33, 37, 38, 41, 42, 43, 44, 49, 51, 52, 53, 58, 59, 66, 67, 68, 69, 75, 77, 82, 83, 84]]","[6, 2, 4, 5, 3, 1]",[nan]
OBMA,11,"(0.25, 72)","[[0, 7, 12, 14], [1, 2, 3, 4, 6, 17, 18, 28, 35, 37], [3, 4, 5, 12, 16, 20, 21, 23, 35, 38], [1, 3, 6, 14, 18, 22, 24, 30, 31, 39], [1, 2, 3, 4, 5, 6, 7, 10, 13, 19, 21, 23, 31, 32, 44], [3, 6, 9, 12, 16, 18, 20, 21, 22, 23, 25, 26, 28, 33, 37, 38, 49, 51, 66, 69, 77, 83, 84]]","[6, 2, 4, 5, 3, 1]",[nan]
OBMA,11,"(0.125, 36)","[[0, 12], [1, 2, 6, 18, 37], [3, 4, 20, 35, 38], [1, 18, 22, 24, 30], [4, 5, 6, 7, 10, 19, 23], [12, 16, 18, 20, 22, 23, 25, 26, 37, 49, 83, 84]]","[6, 2, 4, 5, 3, 1]",[nan]
OBMA,12,"(0.5, 144)","[[2, 4, 5, 8, 9, 11, 12], [1, 2, 4, 5, 7, 8, 11, 15, 16, 17, 20, 23, 25, 28, 29, 30, 31, 32, 36], [1, 4, 5, 7, 9, 10, 11, 13, 17, 20, 22, 23, 25, 26, 31, 34, 35, 38, 40, 41, 42, 44, 45], [0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 14, 15, 17, 20, 21, 22, 23, 26, 35, 38, 39, 41, 46], [1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 15, 17, 18, 19, 26, 30, 31, 32, 34, 40, 41, 42, 44, 48, 51, 55, 56], [3, 4, 6, 7, 8, 10, 11, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 33, 34, 38, 40, 42, 45, 46, 49, 50, 52, 53, 54, 60, 62, 66, 67, 68, 72, 73, 79, 80, 81]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,12,"(0.25, 72)","[[2, 4, 9, 11], [1, 2, 4, 5, 8, 15, 17, 29, 31, 36], [1, 4, 5, 7, 13, 22, 23, 25, 38, 40, 41, 45], [0, 5, 6, 7, 8, 9, 17, 21, 26, 35, 38, 41], [2, 3, 4, 5, 6, 7, 8, 10, 17, 19, 31, 34, 42, 55], [10, 16, 18, 22, 24, 26, 27, 28, 30, 32, 38, 40, 42, 50, 53, 54, 60, 66, 73, 80]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,12,"(0.125, 36)","[[2, 9], [1, 2, 8, 17, 29], [4, 5, 7, 23, 38, 40], [5, 6, 7, 9, 26, 41], [2, 5, 6, 7, 17, 19, 55], [16, 18, 22, 26, 28, 32, 42, 53, 60, 80]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,13,"(0.5, 144)","[[2, 3, 4, 5, 7, 11, 12, 14], [2, 3, 4, 5, 7, 8, 11, 12, 16, 19, 20, 22, 25, 28, 31, 33, 34, 35], [1, 2, 4, 5, 6, 7, 8, 12, 15, 18, 19, 22, 24, 26, 30, 33, 34, 35, 36, 37, 38], [0, 1, 2, 3, 5, 6, 7, 8, 9, 15, 19, 20, 22, 24, 30, 33, 34, 39, 40, 41, 42, 43, 45], [1, 2, 3, 4, 5, 6, 8, 9, 10, 17, 18, 22, 24, 27, 28, 29, 32, 34, 38, 41, 42, 43, 44, 45, 51, 52, 53, 57, 58], [2, 4, 5, 6, 8, 9, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 31, 32, 34, 36, 37, 38, 39, 41, 44, 50, 52, 53, 54, 55, 60, 66, 68, 73, 74, 75, 77, 82, 84]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,13,"(0.25, 72)","[[3, 4, 11, 14], [3, 4, 5, 8, 12, 22, 28, 31, 35], [1, 2, 4, 7, 19, 22, 24, 26, 34, 35, 38], [1, 5, 7, 8, 9, 19, 20, 22, 24, 34, 40, 42], [1, 3, 4, 5, 6, 8, 10, 17, 18, 28, 29, 42, 43, 52, 57], [4, 8, 14, 16, 17, 19, 20, 21, 23, 24, 26, 28, 34, 37, 38, 50, 52, 55, 74, 77, 84]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,13,"(0.125, 36)","[[11, 14], [3, 4, 22, 31, 35], [2, 19, 24, 26, 34], [5, 7, 9, 24, 40, 42], [3, 4, 5, 6, 10, 18, 43], [16, 17, 21, 23, 24, 26, 28, 37, 50, 52, 84]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,14,"(0.5, 144)","[[1, 5, 7, 10, 11, 12], [1, 3, 6, 9, 11, 12, 16, 17, 19, 22, 25, 26, 27, 28, 29, 30, 32], [1, 2, 4, 5, 6, 7, 9, 13, 16, 19, 22, 26, 29, 31, 32, 33, 35, 36, 37], [0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 15, 17, 19, 20, 22, 23, 25, 27, 39, 40, 43, 47, 48, 49, 51, 52], [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 16, 18, 21, 23, 24, 28, 29, 30, 32, 35, 38, 40, 41, 42, 44, 51, 52, 56, 57], [0, 4, 6, 7, 8, 10, 11, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 32, 36, 37, 39, 40, 42, 43, 46, 47, 51, 52, 53, 54, 55, 58, 63, 69, 71, 74, 81, 83, 88, 89]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,14,"(0.25, 72)","[[1, 5, 11], [1, 6, 9, 12, 16, 17, 26, 29, 30], [4, 6, 7, 9, 16, 29, 31, 32, 33, 35], [0, 1, 4, 5, 7, 8, 9, 19, 22, 40, 47, 48, 52], [0, 1, 2, 3, 5, 7, 10, 16, 18, 21, 28, 29, 42, 44, 56], [10, 15, 17, 21, 22, 24, 25, 26, 28, 30, 31, 36, 37, 42, 43, 51, 53, 54, 71, 81, 88, 89]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,14,"(0.125, 36)","[[1, 5], [1, 6, 17, 26], [4, 9, 16, 29, 35], [0, 4, 5, 7, 8, 40, 47], [1, 2, 3, 5, 16, 42, 56], [17, 21, 22, 26, 30, 31, 36, 42, 51, 71, 88]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,15,"(0.5, 144)","[[5, 6, 7, 8, 10, 12], [1, 3, 4, 5, 6, 12, 15, 16, 21, 23, 24, 25, 28, 29, 30, 31, 33, 35], [2, 3, 4, 6, 9, 10, 12, 13, 15, 20, 21, 23, 24, 32, 34, 36, 37, 38, 40, 41, 42], [0, 1, 4, 5, 6, 7, 8, 9, 10, 17, 18, 21, 22, 25, 26, 30, 32, 36, 37, 39, 40, 43], [0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 18, 20, 21, 24, 26, 28, 31, 32, 33, 34, 36, 38, 41, 44, 45, 52, 56, 57], [3, 4, 5, 6, 8, 9, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 35, 37, 39, 40, 43, 45, 51, 53, 54, 55, 56, 57, 63, 66, 70, 71, 72, 75, 79, 80, 81, 86, 87]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,15,"(0.25, 72)","[[6, 7, 10], [1, 3, 5, 15, 16, 21, 23, 25, 29], [2, 3, 4, 6, 12, 21, 23, 34, 36, 40, 42], [4, 5, 7, 8, 10, 18, 25, 26, 32, 37, 39], [1, 3, 4, 5, 7, 8, 11, 18, 21, 26, 31, 32, 33, 36, 56], [8, 13, 15, 18, 20, 21, 22, 23, 25, 27, 28, 29, 30, 35, 39, 40, 51, 53, 57, 72, 79, 80, 87]]","[6, 5, 4, 2, 3, 1]",[nan]
